Date,Open,High,Low,Close,Volume
11/30/2016,120.32,121.79,117.95,118.42,30188922
12/01/2016,118.38,118.45,114.00,115.10,43276994
12/02/2016,115.11,116.48,114.30,115.40,25070364
12/05/2016,115.95,117.57,115.07,117.43,20201528
12/06/2016,117.69,117.80,116.33,117.31,19131202
12/07/2016,117.00,117.95,116.57,117.95,21913658
12/08/2016,117.98,119.50,117.64,118.91,22442756
12/09/2016,119.22,119.94,118.95,119.68,17464736
12/12/2016,119.22,119.24,117.65,117.77,17805527
12/13/2016,117.86,121.52,117.61,120.31,29768028
12/14/2016,120.00,121.69,118.85,120.21,25913095
12/15/2016,120.08,122.50,119.63,120.57,20139568
12/16/2016,120.90,121.50,119.27,119.87,25324299
12/19/2016,119.85,120.36,118.51,119.24,15918146
12/20/2016,119.50,119.77,118.80,119.09,13684402
12/21/2016,118.92,119.20,118.48,119.04,10767646
12/22/2016,118.86,118.99,116.93,117.40,16258587
12/23/2016,117.00,117.56,116.30,117.27,10889985
12/27/2016,116.96,118.68,116.86,118.01,12051481
12/28/2016,118.19,118.25,116.65,116.92,12087377
12/29/2016,117.00,117.53,116.06,116.35,9934873
12/30/2016,116.60,116.83,114.77,115.05,18684106
01/03/2017,116.03,117.84,115.51,116.86,20663912
01/04/2017,117.55,119.66,117.29,118.69,19630932
01/05/2017,118.86,120.95,118.32,120.67,19492150
01/06/2017,120.98,123.88,120.03,123.41,28545263
01/09/2017,123.55,125.43,123.04,124.90,22880360
01/10/2017,124.82,125.50,124.28,124.35,17324590
01/11/2017,124.35,126.12,124.06,126.09,18356523
01/12/2017,125.61,126.73,124.80,126.62,18653914
01/13/2017,127.49,129.27,127.37,128.34,24884325
01/17/2017,128.04,128.34,127.40,127.87,15294460
01/18/2017,128.41,128.43,126.84,127.92,13145852
01/19/2017,128.23,128.35,127.45,127.55,12195465
01/20/2017,128.10,128.48,126.78,127.04,19097223
01/23/2017,127.31,129.25,126.95,128.93,16593563
01/24/2017,129.38,129.90,128.38,129.37,15162724
