Date,Open,High,Low,Close,Volume
03/27/2017,828.09,841.38,824.30,838.51,1935211
03/28/2017,839.69,845.40,832.26,840.63,1519202
03/29/2017,842.75,851.58,841.38,849.87,1457347
03/30/2017,851.98,852.00,846.77,849.48,949398
03/31/2017,846.83,849.56,845.24,847.80,1440982
04/03/2017,848.75,859.00,847.53,856.75,1969402
04/04/2017,848.00,853.00,847.50,852.57,1348494
04/05/2017,854.71,860.59,847.52,848.91,1855153
04/06/2017,849.50,853.59,844.00,845.10,1533564
04/07/2017,845.00,845.88,837.30,842.10,1111610
04/10/2017,841.54,846.74,840.79,841.70,1046215
04/11/2017,841.70,844.63,834.60,839.88,974343
04/12/2017,838.46,843.72,837.59,841.46,1135775
04/13/2017,841.04,843.73,837.85,840.18,1073650
04/17/2017,841.38,855.64,841.03,855.13,1049125
04/18/2017,852.54,857.39,851.25,853.99,936201
04/19/2017,857.38,860.20,853.53,856.51,1080336
04/20/2017,859.74,863.93,857.50,860.08,1188843
04/21/2017,860.62,862.44,857.73,858.95,1172870
04/24/2017,868.44,879.96,866.11,878.93,1696483
04/25/2017,882.26,892.25,879.28,888.84,2038032
04/26/2017,891.39,892.99,885.15,889.14,1323297
04/27/2017,890.00,893.38,887.18,891.44,2342303
04/28/2017,929.00,935.90,923.22,924.52,3845857
05/01/2017,924.15,935.82,920.80,932.82,2327782
05/02/2017,933.27,942.98,931.00,937.09,1751292
05/03/2017,936.05,950.20,935.21,948.45,1824759
05/04/2017,950.29,959.14,947.37,954.72,1938260
05/05/2017,956.72,958.44,948.10,950.28,1615548
05/08/2017,947.45,960.99,947.40,958.69,1876690
05/09/2017,961.33,962.20,954.40,956.71,1687942
05/10/2017,956.22,956.71,949.84,954.84,1145969
05/11/2017,951.29,957.99,948.61,955.89,1031093
05/12/2017,957.85,957.98,952.06,955.14,1214851
05/15/2017,955.29,962.70,952.82,959.22,1337697
05/16/2017,963.55,965.90,960.35,964.61,1101544
05/17/2017,959.70,960.99,940.06,942.17,2449058
05/18/2017,943.20,954.18,941.27,950.50,1800465
05/19/2017,952.82,959.56,952.00,954.65,1360299
05/22/2017,957.00,964.82,956.56,964.07,1387392
05/23/2017,969.96,974.51,964.50,970.55,1545421
05/24/2017,975.26,978.12,971.63,977.61,1142488
05/25/2017,979.00,995.78,977.82,991.86,1954149
05/26/2017,992.00,996.39,987.36,993.27,1636416
05/30/2017,992.50,997.62,991.36,996.17,1516685
05/31/2017,996.21,999.60,981.68,987.09,1724095
06/01/2017,990.96,993.14,981.29,988.29,1306384
06/02/2017,988.59,996.48,987.07,996.12,1735469
06/05/2017,997.89,1007.40,995.45,1003.88,1378916
06/06/2017,1003.31,1008.61,994.80,996.68,1552114
06/07/2017,998.82,1003.91,995.81,1001.59,1374097
06/08/2017,1004.23,1005.60,996.62,1004.28,1687925
06/09/2017,1005.49,1005.50,953.37,970.12,3647857
06/12/2017,958.72,968.00,936.80,961.81,4202109
06/13/2017,972.04,977.91,962.01,970.50,2005356
06/14/2017,975.50,979.70,959.51,967.93,1505486
06/15/2017,948.02,960.68,940.37,960.18,2427639
06/16/2017,957.91,959.95,948.70,958.62,2559207
06/19/2017,969.65,979.30,968.20,975.22,1468837
06/20/2017,975.31,980.79,968.20,968.99,1297287
06/21/2017,970.79,979.67,969.16,978.59,1161607
06/22/2017,976.87,980.50,973.31,976.62,1009476
06/23/2017,975.50,986.62,974.46,986.09,1563985
06/26/2017,990.00,993.99,970.33,972.09,1517912
06/27/2017,961.60,967.22,947.09,948.09,2443602
06/28/2017,950.66,963.24,936.16,961.01,2745568
06/29/2017,951.35,951.66,929.60,937.82,3206674
06/30/2017,943.99,945.00,929.61,929.68,2287662
07/03/2017,933.22,934.24,915.31,919.46,1694811
07/05/2017,924.20,936.29,918.63,932.26,2094055
07/06/2017,925.00,936.14,919.85,927.69,2014855
07/07/2017,930.98,944.66,929.79,940.81,1663302
07/10/2017,941.95,953.13,941.95,951.00,1451460
07/11/2017,950.52,954.89,945.12,953.53,1461247
07/12/2017,960.86,969.63,957.04,967.66,1602115
07/13/2017,970.80,978.70,964.80,968.85,1524571
07/14/2017,974.00,977.54,970.15,976.91,1079608
07/17/2017,976.32,983.35,970.80,975.96,1660464
07/18/2017,973.36,990.85,972.04,986.95,1413335
07/19/2017,990.01,995.60,987.01,992.77,1412148
07/20/2017,997.00,998.68,984.62,992.19,1418385
07/21/2017,989.00,995.11,984.17,993.84,1463322
07/24/2017,994.10,1006.19,990.27,998.31,3984532
07/25/2017,970.70,976.73,963.80,969.03,5933602
07/26/2017,972.78,973.95,960.23,965.31,2221625
07/27/2017,969.18,969.52,937.06,952.51,3717900
07/28/2017,947.99,961.79,945.31,958.33,1813794
07/31/2017,960.00,961.19,941.72,945.50,2293389
08/01/2017,947.81,954.49,944.96,946.56,1332456
08/02/2017,948.37,949.10,932.52,947.64,2039418
08/03/2017,949.10,950.00,939.44,940.30,1123921
08/04/2017,943.95,947.54,939.80,945.79,1254574
08/07/2017,947.52,948.96,943.50,945.75,1445754
08/08/2017,944.29,952.49,942.48,944.19,1505064
08/09/2017,938.45,943.76,933.92,940.08,1400852
08/10/2017,935.00,936.30,921.78,923.59,2707393
08/11/2017,923.71,933.36,921.22,930.09,1616708
08/14/2017,939.07,941.04,934.48,938.93,1150612
08/15/2017,941.03,943.07,936.64,938.08,1106484
08/16/2017,941.25,949.90,940.04,944.27,1345261
